Department name,Degree type,Handle,Browse URL,Year
Urban Studies and Planning,Ph.D. / Sc.D.,1721.1/7702,https://dspace.mit.edu/handle/1721.1/7702/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Engineering Systems,Bachelor's degree,1721.1/7709,https://dspace.mit.edu/handle/1721.1/7709/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Engineering Systems,Engineer's degree,1721.1/7711,https://dspace.mit.edu/handle/1721.1/7711/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Engineering Systems,Master's degree,1721.1/7710,https://dspace.mit.edu/handle/1721.1/7710/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Engineering Systems,Ph.D. / Sc.D.,1721.1/7708,https://dspace.mit.edu/handle/1721.1/7708/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Health Sciences and Technology,Bachelor's degree,1721.1/7714,https://dspace.mit.edu/handle/1721.1/7714/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Health Sciences and Technology,Master's degree,1721.1/7715,https://dspace.mit.edu/handle/1721.1/7715/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Health Sciences and Technology,Ph.D. / Sc.D.,1721.1/7712,https://dspace.mit.edu/handle/1721.1/7712/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
"Institute for Data, Systems, and Society",Engineer's degree,1721.1/102290,https://dspace.mit.edu/handle/1721.1/102290/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
"Institute for Data, Systems, and Society",Master's degree,1721.1/102291,https://dspace.mit.edu/handle/1721.1/102291/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
"Institute for Data, Systems, and Society",Ph.D. / Sc.D.,1721.1/102292,https://dspace.mit.edu/handle/1721.1/102292/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Media Arts and Sciences,Bachelor's degree,1721.1/7717,https://dspace.mit.edu/handle/1721.1/7717/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Media Arts and Sciences,Master's degree,1721.1/7718,https://dspace.mit.edu/handle/1721.1/7718/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Media Arts and Sciences,Ph.D. / Sc.D.,1721.1/7716,https://dspace.mit.edu/handle/1721.1/7716/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Operations Research,Bachelor's degree,1721.1/7721,https://dspace.mit.edu/handle/1721.1/7721/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Operations Research,Master's degree,1721.1/7720,https://dspace.mit.edu/handle/1721.1/7720/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Operations Research,Ph.D. / Sc.D.,1721.1/7719,https://dspace.mit.edu/handle/1721.1/7719/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Program in Real Estate Development,Master's degree,1721.1/54825,https://dspace.mit.edu/handle/1721.1/54825/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Program in Writing and Humanistic Studies,Bachelor's degree,1721.1/39111,https://dspace.mit.edu/handle/1721.1/39111/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Program in Writing and Humanistic Studies,Master's degree,1721.1/39112,https://dspace.mit.edu/handle/1721.1/39112/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
"Science, Technology and Society",Bachelor's degree,1721.1/7727,https://dspace.mit.edu/handle/1721.1/7727/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
"Science, Technology and Society",Master's degree,1721.1/7726,https://dspace.mit.edu/handle/1721.1/7726/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
"Science, Technology and Society",Ph.D. / Sc.D.,1721.1/7725,https://dspace.mit.edu/handle/1721.1/7725/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Management,Bachelor's degree,1721.1/7729,https://dspace.mit.edu/handle/1721.1/7729/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Management,Master's degree,1721.1/7730,https://dspace.mit.edu/handle/1721.1/7730/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Management,Ph.D. / Sc.D.,1721.1/7728,https://dspace.mit.edu/handle/1721.1/7728/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Supply Chain Management,Master's degree,1721.1/107232,https://dspace.mit.edu/handle/1721.1/107232/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Supply Chain Management,Ph.D. / Sc.D.,1721.1/107233,https://dspace.mit.edu/handle/1721.1/107233/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Systems Design and Management,Bachelor's degree,1721.1/7740,https://dspace.mit.edu/handle/1721.1/7740/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Systems Design and Management,Master's degree,1721.1/7739,https://dspace.mit.edu/handle/1721.1/7739/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Systems Design and Management,Ph.D. / Sc.D.,1721.1/7738,https://dspace.mit.edu/handle/1721.1/7738/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Technology and Policy,Bachelor's degree,1721.1/7743,https://dspace.mit.edu/handle/1721.1/7743/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Technology and Policy,Master's degree,1721.1/7742,https://dspace.mit.edu/handle/1721.1/7742/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Technology and Policy,Ph.D. / Sc.D.,1721.1/7741,https://dspace.mit.edu/handle/1721.1/7741/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Various Historical Departments,Other,1721.1/16459,https://dspace.mit.edu/handle/1721.1/16459/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
